ID,Parents,Name FR
5d77c9c2c138b10015197407, #Tech #TechnologicalPlateform #Platform #ProgressiveWebApp,Application web progressive
5e7904bfa2596f0015d42fd4, #WingzyRole,Board member
5e790165a2596f0015d42fd2, #Hidden,Rôles
5e7a0568a2596f0015d43050, #FrenchCompanies,Amazon
5e7a0565a2596f0015d4304f, #FrenchCompanies,Sogeti
5e7904bfa2596f0015d42fd5, #WingzyRole,Full-time
5e7904bfa2596f0015d42fd7, #WingzyRole,Cofondateur
5e7a0561a2596f0015d4304e, #FrenchCompanies,Match Com
5e7904bfa2596f0015d42fd6, #WingzyRole,Stagiaire
5e79059ca2596f0015d42fd9, #FrenchCompanies,Groupe ADP
5e7a051fa2596f0015d4304c, #WingzyRole,Full dev
5f1e95d9cb960400156dad8b, #Brand-andMarketing #ProductLeadGrowth #ProductDesign #ProgressiveWebApp,Gamification
5f1e9604cb960400156dad8c, #FrenchCompanies,Ubisoft
5f1e960dcb960400156dad8d, #FrenchCompanies,Asobo Studio
60af8b881f381600322628ac, #WingzyRole,Actionnaire
60af8d701f381600322628ae, #WingzyRole,Prestataire
60af8e5a1f381600322628b0, #WingzyRole,Apporteur d'affaires
60b102fdc91669002e154f68, #WingzyRole,Investisseur
60b7532bb8e42a002e5320b7, #Sales26688,Cannaux de ventes
60b7536ab8e42a002e5320b8, #FrenchCompanies,Aveva
60b7597cb8e42a002e5320df, #WingzyRole,Avocat
60b759adb8e42a002e5320e8, #WingzyRole,CEO
6117b956356cfc002e6ff187,,Brand & Marketing
6117c0fe356cfc002e6ff19c, #Hidden,Équipe
611e2a0f356cfc002e6ff615, #FrenchCompanies,Rotarex
611e2a25356cfc002e6ff617, #FrenchCompanies,Vestas
611e2a2f356cfc002e6ff619, #FrenchCompanies,Air Products
611e2a33356cfc002e6ff61b, #FrenchCompanies,Arquus
611e2a3a356cfc002e6ff61d, #FrenchCompanies,Soframe
6135e6fe502488002e20d162,,Tech
613607d7502488002e20db25, #FrenchCompanies,Ask for the moon
613a271d1bd6bd002ea4c3e0, #Outils,Microsoft Azure
613a27321bd6bd002ea4c409, #FrenchCompanies,Leroy Merlin
613a27381bd6bd002ea4c432, #FrenchCompanies,Adéo
613f57f3989047003203fe08, #WingzyRole,Alumni
6148b508323b31002e84e37a, #Ia,Filtrage collaboratif
6148b53f323b31002e84e46c, #DataAnalysis,Data Set
6151ddc2d95e7b002e1bd993, #FrenchCompanies,Psa Peugeot Citroen
6151ddc7d95e7b002e1bd9bb, #FrenchCompanies,Stellantis
6151ddecd95e7b002e1bd9e9, #FrenchCompanies,CGI
6151de14d95e7b002e1bda25, #Outils,Figma
615a33c83b0844002fe3d67f, #WingzyRole,DAF
615a33d03b0844002fe3d6a4, #WingzyRole,Mentor
615a34a53b0844002fe3d8c7, #FrenchCompanies,IBM
615a34ba3b0844002fe3d918, #FrenchCompanies,Equinix
615a34db3b0844002fe3d976, #FrenchCompanies,Digital Reality
615a34e83b0844002fe3d99e, #FrenchCompanies,Vertiv
615a34f63b0844002fe3d9c6, #FrenchCompanies,Rittal
615a35043b0844002fe3d9f7, #FrenchCompanies,Daher
615ef0a43b0844002fe507e2, #SoftwareDevelopment,Visual Studio Code
615ef0e23b0844002fe507f0, #IT,Windows
61698cbf604a9e002ed6e2e1, #Administrative #Facture #Rib,Comptabilité
6171807c41ee3e002e8e98fe, #Administrative #Sales26688,Facturation
61c2fe31361a3f00333c23cc, #Fonctionnalite,Notification
61c30046361a3f00333c2a40, #Deploiement #CommunityPlatform #MethodologicalPlatform #Platform,Ontologie
61f7db0de129df002f2acee8, #Organization,Agenda
61f7ffbce129df002f2b10bc, #WingzyRole,CTO
61f90eb4e129df002f2d1018, #WingzyRole,Marketing Manager
